i,FONTE,TEMA,ASSUNTO,LINK,SUMARIO,TAGS,KEYWORDS,TEXTO
437,Receita Federal,Cálculo E Impressão Do Darf.,Débito Automático,https://www.gov.br/receitafederal/pt-br/assuntos/irpf/2019/pagamento/debito-automatico,Pagamento - Débito AutomáticoDébito automático das quotasAção Como proceder Opção Opção 1 Durante o preenchimento da declaração (original ou retificadora elaborada em computador apresentada até 30/04/2019) assinale a opção de débito automático e informe o banco a agência e o número da conta.AVISO Para solicitar o débito automático da quota única ou a partir da 1ª quota a declaração deve ser transmitida até 31/03/2019.A inclusão do débito automático somente surtirá efeitos no próprio mês se for executada até as 23h59mim59s horário de Brasília do dia 14 desse mês.A alteração do débito automático somente surtirá efeitos no próprio mês se for executada até as 23h59mim59s horário de Brasília do dia 14 desse mês.Quando for realizado o débito automático da 3ª quota o Darf (pago em duplicidade) será utilizado para liquidar a 4ª quota e assim sucessivamente até a última quota quando então não haverá débito automático e o Darf finalmente quitará a 8ª quota.,assuntos irpf 2019 pagamento debito automatico,extrato quotas opção automático declaração darf conta quota débito pagamento,"• O débito é efetivado no último dia útil do mês e será contínuo até o pagamento total do imposto. • O débito automático pode ser estornado a pedido do contribuinte titular da conta corrente caso fique comprovada a existência de dolo fraude ou simulação. • I - antecipar total ou parcialmente o pagamento do imposto ou das quotas não sendo necessário nesse caso apresentar declaração retificadora com a nova opção de pagamento • II – ampliar o número de quotas do imposto inicialmente previsto na declaração até a data de vencimento da última quota desejada observado o máximo de 8 quotas mediante a apresentação de declaração retificadora ou o acesso ao sítio da RFB na internet opção “Extrato da DIRPF” no endereço ""rfb. gov. br"". Conta bancária a ser utilizada para o débito Somente pode ser utilizada conta-corrente de titularidade do declarante (individual ou conjunta)."
438,Receita Federal,Cássia Aparecida Mingorance,Programa Livro Caixa da Atividade Rural 2021 (Versão Java),https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/pagamentos-e-parcelamentos/pagamento-do-imposto-de-renda-de-pessoa-fisica/livro-caixa-da-atividade-rural-1/programa-livro-caixa-da-atividade-rural-2021-versao-java, ,assuntos orientacao tributaria pagamentos e parcelamentos pagamento do imposto de renda de pessoa fisica livro caixa da atividade rural 1 programa livro caixa da atividade rural 2021 versao java,caixa livro atividade 2021 java versão rural programa, 
439,Receita Federal,Códigos De Receita De Contribuição Previdenciária (Gps),Códigos de Receita,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/pagamentos-e-parcelamentos/codigos-de-receita, ,assuntos orientacao tributaria pagamentos e parcelamentos codigos de receita,códigos receita, 
440,Receita Federal,Dados Abertos,CNIR - Cadastro Nacional de Imóveis Rurais,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/cadastros/portal-cnir,Esta é uma iniciativa do Governo Federal com objetivo de aumentar a transparência e a eficiência na gestão cadastral dos imóveis rurais no Brasil por meio do Cadastro Nacional de Imóveis Rurais - CNIR.O CNIR é fruto da parceria entre o Instituto Nacional de Colonização e Reforma Agrária - INCRA e a Secretaria Especial da Receita Federal do Brasil - RFB.Aqui os usuários podem obter informações relevantes e utilizar diversos serviços relacionados aos seus imóveis rurais com facilidade rapidez e integridade dos dados cadastrais.,assuntos orientacao tributaria cadastros portal cnir,cadastro federal nacional cnir usuários serviços rurais secretaria imóveis brasil transparência utilizar,Esta é uma iniciativa do Governo Federal com objetivo de aumentar a transparência e a eficiência na gestão cadastral dos imóveis rurais no Brasil por meio do Cadastro Nacional de Imóveis Rurais - CNIR. O CNIR é fruto da parceria entre o Instituto Nacional de Colonização e Reforma Agrária - INCRA e a Secretaria Especial da Receita Federal do Brasil - RFB. Aqui os usuários podem obter informações relevantes e utilizar diversos serviços relacionados aos seus imóveis rurais com facilidade rapidez e integridade dos dados cadastrais.
441,Receita Federal,Dados Abertos (Planilha Eletrônica),Criptoativos,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos/criptoativos, ,assuntos orientacao tributaria declaracoes e demonstrativos criptoativos,criptoativos, 
442,Receita Federal,Dai - Declaração Anual De Isentos,DAI - Declaração Anual de Isentos,https://www.gov.br/receitafederal/pt-br/servicos/declaracoes-e-demonstrativos/dai, ,servicos declaracoes e demonstrativos dai,dai declaração anual isentos, 
443,Receita Federal,Dctf,Inaptidão da inscrição no CNPJ em decorrência de omissão,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/cobrancas-e-intimacoes/controle-de-entrega-de-declaracoes/declaracao-de-inaptidao-da-inscricao-no-cnpj,Orientações Gerais1) ResumoA inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ) pode ser declarada inapta em decorrência da omissão na entrega de quaisquer declarações por 2 (dois) exercícios consecutivos.Impede a inscrição no CNPJ(...)II - o fato de integrante do QSA da entidadea) se pessoa jurídica não possuir inscrição no CNPJ salvo se for entidade domiciliada no exterior não obrigada à inscrição no CNPJ ou de sua inscrição ser inexistente ou estar suspensa baixada inapta ou nula(...)4.2) a possibilidade de baixa de ofício da inscriçãoArt.Pode ser baixada de ofício a inscrição no CNPJ da entidade(...)III - declarada inapta que não tiver regularizado sua situação nos 5 (cinco) exercícios subsequentes(...)4.3) a invalidade da utilização da inscrição para fins cadastraisArt.É considerado inidôneo não produzindo efeitos tributários em favor de terceiro interessado o documento emitido por entidade cuja inscrição no CNPJ tenha sido declarada inapta ou baixada.A cobrança administrativa e o encaminhamento para fins de inscrição e execução de créditos tributários relativos à pessoa jurídica cuja inscrição no CNPJ tenha sido declarada inapta nas hipóteses previstas nos incisos do art.,assuntos orientacao tributaria cobrancas e intimacoes controle de entrega de declaracoes declaracao de inaptidao da inscricao no cnpj,inscrição declaração declarada inapta declarações inaptidão omissão exercícios rfb cnpj decorrência jurídica pessoa,A inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ) pode ser declarada inapta em decorrência da omissão na entrega de quaisquer declarações por 2 (dois) exercícios consecutivos. Atenção A contagem dos exercícios é feita de acordo com o ano-calendário das declarações omitidas no caso das declarações de periodicidade anual. Para identificar as declarações omitidas utilize o serviço Certidões e Situação Fiscal - Consulta Pendências - Situação Fiscal no Centro Virtual de Atendimento (Portal e-CAC) ou vá diretamente clicando aqui. O Ato Declaratório Executivo (ADE) na maioria dos casos é publicado no sítio da Secretaria Especial da Receita Federal do Brasil (RFB) na Internet no aplicativo “Editais e ADE eletrônicos”. A regularização das omissões ou da inaptidão é obtida com a entrega de todas as declarações ou escriturações omitidas.
444,Receita Federal,Dctf - Acessar O Sistema Dctfweb,DCTF – Declaração de Débitos e Créditos Tributários Federais,https://www.gov.br/receitafederal/pt-br/servicos/declaracoes-e-demonstrativos/dctf, ,servicos declaracoes e demonstrativos dctf,tributários declaração débitos federais dctf créditos, 
445,Receita Federal,Dctf Mensal V. 2.5,DCTF - Programa Gerador da Declaração (PGD),https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos/dctf/programa-gerador-da-declaracao-pgd/dctf-programa-gerador-da-declaracao-pgd,DCTF Mensal v. 3.5c (para declarações a partir de agosto/2014) ATENÇÃO A versão 3.5c do PGD DCTF Mensal deve ser utilizada para o preenchimento da DCTF original ou retificadora inclusive nas situações de extinção incorporação fusão e cisão total ou parcial relativa aos fatos geradores ocorridos a partir de 1º de agosto de 2014.Recomenda-se gravar as DCTF elaboradas nas versões anteriores antes de instalar o novo programa a fim de que elas possam ser importadas caso desejado.As declarações elaboradas nas versões 3.4 3.5 3.5a e 3.5b do PGD podem ser recuperadas por meio da função Importar do menu Declaração.Para verificar se a versão instalada do programa é a mais recente basta conferir a data apresentada na tela Sobre a DCTF Mensal 3.5 acessada por meio do menu Ajuda que deve ser igual a 11/02/2020.ATENÇÃO Para transmitir a declaração via Internet deve-se utilizar o programa Receitanet.,assuntos orientacao tributaria declaracoes e demonstrativos dctf programa gerador da declaracao pgd dctf programa gerador da declaracao pgd,programa versões dctf preenchimento elaboradas declarações mensal gerador declaração pgd versão,ATENÇÃO A versão 3. 5c do PGD DCTF Mensal deve ser utilizada para o preenchimento da DCTF original ou retificadora inclusive nas situações de extinção incorporação fusão e cisão total ou parcial relativa aos fatos geradores ocorridos a partir de 1º de agosto de 2014. Esta nova versão permite o preenchimento das declarações referentes ao ano de 2020 e corrige a verificação do número da DComp que estava impedindo a informação de determinados números válidos. Recomenda-se gravar as DCTF elaboradas nas versões anteriores antes de instalar o novo programa a fim de que elas possam ser importadas caso desejado. As declarações elaboradas nas versões 3. 4 3. 5 3. 5a e 3. 5b do PGD podem ser recuperadas por meio da função Importar do menu Declaração. Para verificar se a versão instalada do programa é a mais recente basta conferir a data apresentada na tela Sobre a DCTF Mensal 3. 5 acessada por meio do menu Ajuda que deve ser igual a 11/02/2020.
446,Receita Federal,Decisão Do Recurso Especial,Recurso Especial ao CARF,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/cobrancas-e-intimacoes/auto-de-infracao-e-notificacao-de-lancamento/recurso-especial-ao-carf-1,IntempestividadeO Recurso Especial mesmo intempestivo será encaminhado ao órgão de segunda instância (Conselho Administrativo de Recursos Fiscais - CARF) que julgará a admissibilidade do recurso.Renúncia ou Desistência do Recurso EspecialA existência ou propositura pelo contribuinte de ação judicial contra a Fazenda Nacional com o mesmo objeto do litígio administrativo importa em renúncia ou em desistência ao litígio nas instâncias administrativas.Também importa em desistência do processo administrativo o pedido de parcelamento a confissão irretratável da dívida e a extinção dos débitos por qualquer de suas modalidades.Em qualquer fase processual o recorrente poderá desistir total ou parcialmente do recurso em tramitação.No caso de desistência parcial o contribuinte deverá identificar claramente os débitos do processo objeto de sua desistência.,assuntos orientacao tributaria cobrancas e intimacoes auto de infracao e notificacao de lancamento recurso especial ao carf 1,especial carf importa objeto litígio órgão administrativo contribuinte recurso débitos processo desistência,A existência ou propositura pelo contribuinte de ação judicial contra a Fazenda Nacional com o mesmo objeto do litígio administrativo importa em renúncia ou em desistência ao litígio nas instâncias administrativas. Também importa em desistência do processo administrativo o pedido de parcelamento a confissão irretratável da dívida e a extinção dos débitos por qualquer de suas modalidades. A desistência deverá ser manifestada em petição ou termo juntado ao processo. Em qualquer fase processual o recorrente poderá desistir total ou parcialmente do recurso em tramitação. No caso de desistência parcial o contribuinte deverá identificar claramente os débitos do processo objeto de sua desistência.
447,Receita Federal,Decisão Do Recurso Voluntário,Recurso Voluntário ao Carf,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/cobrancas-e-intimacoes/auto-de-infracao-e-notificacao-de-lancamento/recurso-voluntario-ao-carf, ,assuntos orientacao tributaria cobrancas e intimacoes auto de infracao e notificacao de lancamento recurso voluntario ao carf,voluntário carf recurso, 
448,Receita Federal,Declarar Operações Com Criptoativos,Declaração com Criptoativos,https://www.gov.br/receitafederal/pt-br/servicos/declaracoes-e-demonstrativos/criptoativos, ,servicos declaracoes e demonstrativos criptoativos,criptoativos declaração, 
449,Receita Federal,Declaração De Ajuste Anual Do Imposto Sobre A Renda Da Pessoa Física Retificadora,Restituição de PDV - Programa de Demissão Voluntária,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/restituicao-ressarcimento-reembolso-e-compensacao/restituicao/pdv,Informações GeraisConsideram-se Programas de Demissão Voluntária apenas os instituídos pelas pessoas jurídicas a título de incentivo à demissão voluntária de seus empregados.Entende-se como verba indenizatória contemplada pela dispensa de constituição de créditos tributários os valores especiais recebidos a título de incentivo à adesão a PDV doravante denominadas verbas indenizatórias.Na hipótese de deferimento do pedido de restituição o contribuinte deverá desistir da Ação Judicial contra a tributação do PDV se for o caso.PDV - Imposto lançado de ofícioFato O contribuinte declarou anteriormente a verba indenizatória como rendimento isento e foi glosada pela RFB gerando imposto a pagar ou redução da restituição do imposto retido.2) O contribuinte impugnou administrativamente aguardar a decisão administrativa que excluirá dos rendimentos tributáveis os valores recebidos a título de incentivo ao PDV.,assuntos orientacao tributaria restituicao ressarcimento reembolso e compensacao restituicao pdv,restituição imposto demissão programa valores pdv voluntária rescisão recebidos contribuinte indenizatória título incentivo,Consideram-se Programas de Demissão Voluntária apenas os instituídos pelas pessoas jurídicas a título de incentivo à demissão voluntária de seus empregados. Não estão incluídos nesse conceito os programas de incentivo a pedido de aposentadoria ou qualquer outra forma de desligamento voluntário.
450,Receita Federal,Declaração De Ausência De Movimentação Financeira,Declarações e Demonstrativos,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos, ,centrais de conteudo formularios declaracoes e demonstrativos,demonstrativos declarações, 
451,Receita Federal,Declaração De Compensação,Compensação da Cide-Combustíveis,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/restituicao-ressarcimento-reembolso-e-compensacao/compensacao/compensacao-da-cide-comustiveis,Gera direito à compensação de Cide-Combustíveis apenas as aquisições no mercado interno e importações de hidrocarbonetos líquidos queI - não sejam destinados à produção de gasolina ou diesel eII - sejam utilizados pela pessoa jurídica importadora ou adquirente no mercado interno como insumo para a fabricação de outros produtos.Condições que devem ser observadas para os hidrocarbonetos líquidosI - importados pela pessoa jurídica que vai utilizá-los como insumo na forma do item II ouII - adquiridos de pessoas jurídicas contribuintes da Cide-Combustíveis na forma dos arts.A compensação está limitada ao valorI - efetivamente pago na importação ouII - incidente sobre a operação de venda no mercado interno.Nesse caso a pessoa jurídica vendedora deve fazer constar na nota fiscal de venda a expressão “Venda efetuada com incidência da Cide-Combustíveis” com especificação do valor da contribuição incidente.A compensação será efetuada pela pessoa jurídica adquirente mediante a apresentação da Declaração de Compensação ao qual deverão ser anexados documentos comprobatórios do direito creditório.,assuntos orientacao tributaria restituicao ressarcimento reembolso e compensacao compensacao compensacao da cide comustiveis,mercado vendedora compensação adquirente pessoa interno jurídica cidecombustíveis hidrocarbonetos venda,O valor da Contribuição de Intervenção no Domínio Econômico incidente sobre a importação e a comercialização de petróleo e seus derivados gás natural e seus derivados e álcool etílico combustível (Cide-Combustíveis) pago por pessoa jurídica vendedora de hidrocarbonetos líquidos no mercado interno ou pago diretamente pelo importador no caso de importação poderá ser compensado pela pessoa jurídica adquirente ou importadora desses produtos com débitos próprios vencidos ou vincendos relativos a quaisquer tributos administrados pela Secretaria da Receita Federal do Brasil (RFB). I - não sejam destinados à produção de gasolina ou diesel e II - sejam utilizados pela pessoa jurídica importadora ou adquirente no mercado interno como insumo para a fabricação de outros produtos. Condições que devem ser observadas para os hidrocarbonetos líquidos II - adquiridos de pessoas jurídicas contribuintes da Cide-Combustíveis na forma dos arts. 2º e 3º da Lei nº 10. 336/2001.
452,Receita Federal,Declaração De Compensação,Compensação de Contribuições Previdenciárias,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/restituicao-ressarcimento-reembolso-e-compensacao/compensacao/compensacao-de-contribuicoes-previdenciarias,Orientações GeraisCompensação de Contribuições Previdenciárias pela empresa ou equiparada que utiliza a GFIP para apuração das contribuiçõesA empresa ou equiparada que apurar crédito relativo às contribuições previdenciárias inclusive o relativo à Contribuição Previdenciária sobre a Receita Bruta (CPRB) poderá utilizá-lo na compensação de contribuições previdenciárias devidas correspondentes a períodos subsequentes.O crédito decorrente de pagamento ou de recolhimento indevido poderá ser utilizado entre os estabelecimentos da empresa exceto obras de construção civil para compensação com contribuições previdenciárias devidas.74 da Lei nº 9.430/1996 à compensação das contribuições previdenciárias efetuada por sujeito passivo que não utiliza o eSocial para apuração dessas contribuições aplicando-se no caso o regime de compensação definido pelo art.No caso de compensação indevida o sujeito passivo deverá recolher o valor indevidamente compensado acrescido de juros e multa de mora devidos.44 da Lei nº 9.430/96 aplicado em dobro e terá como base de cálculo o valor total do débito indevidamente compensado.,assuntos orientacao tributaria restituicao ressarcimento reembolso e compensacao compensacao compensacao de contribuicoes previdenciarias,caso compensação art relativo lei nº sujeito previdenciárias contribuições passivo,Compensação de Contribuições Previdenciárias pela empresa ou equiparada que utiliza a GFIP para apuração das contribuições A empresa ou equiparada que apurar crédito relativo às contribuições previdenciárias inclusive o relativo à Contribuição Previdenciária sobre a Receita Bruta (CPRB) poderá utilizá-lo na compensação de contribuições previdenciárias devidas correspondentes a períodos subsequentes. Para efetuar a compensação o sujeito passivo deverá estar em situação regular relativa aos créditos constituídos por meio de auto de infração ou notificação de lançamento aos parcelados e aos débitos declarados considerando todos os seus estabelecimentos e obras de construção civil ressalvados os débitos cuja exigibilidade esteja suspensa. O crédito decorrente de pagamento ou de recolhimento indevido poderá ser utilizado entre os estabelecimentos da empresa exceto obras de construção civil para compensação com contribuições previdenciárias devidas.
453,Receita Federal,Declaração De Compensação,Compensação de Créditos da Contribuição para o PIS/PASEP e da Cofins,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/restituicao-ressarcimento-reembolso-e-compensacao/compensacao/compensacao-de-creditos-da-contribuicao-para-o-pis-pasep-e-da-cofins,Orientações Gerais Os créditos da Contribuição para o PIS/Pasep e da Cofins apurados na forma do art.1º da Lei nº 12.859/2013 ouV - custos despesas e encargos vinculados às receitas decorrentes da venda dos produtos referidos no caput do art.3º da Lei nº 10.147/2000.A compensação trata de créditos da contribuição para o PIS/PASEP e da Cofins será efetuada a partir do Programa PER/DCOMP ou na impossibilidade de sua utilização mediante a Declaração de Compensação a qual deverão ser anexados documentos comprobatórios do direito creditório.À empresa comercial exportadora que tenha adquirido mercadorias com o fim específico de exportação é vedado apurar créditos vinculados a essas aquisições.,assuntos orientacao tributaria restituicao ressarcimento reembolso e compensacao compensacao compensacao de creditos da contribuicao para o pis pasep e da cofins,encargos vinculados compensação art 3º pispasep despesas custos créditos lei receitas nº cofins contribuição,Os créditos da Contribuição para o PIS/Pasep e da Cofins apurados na forma do art. 3º da Lei nº 10. 637/2002 e do art. 3º da Lei nº 10. 833/2003 que não puderem ser utilizados no desconto de débitos das respectivas contribuições poderão sê-lo na compensação de débitos próprios vencidos ou vincendos se decorrentes de I - custos despesas e encargos vinculados às receitas resultantes das operações de exportação de mercadorias para o exterior prestação de serviços a pessoa física ou jurídica residente ou domiciliada no exterior cujo pagamento represente ingresso de divisas e vendas a empresa comercial exportadora com o fim específico de exportação II - custos despesas e encargos vinculados às vendas efetuadas com suspensão isenção alíquota 0 (zero) ou não incidência III - aquisições de embalagens para revenda pelas pessoas jurídicas comerciais a que se referem os §§ 3º e 4º do art. 51 Lei nº 10.
454,Receita Federal,Declaração De Compensação,Compensação de IRRF Relativo a Juros sobre Capital Próprio e de IRRF Incidente sobre Pagamento Efetuado a Cooperativas,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/restituicao-ressarcimento-reembolso-e-compensacao/compensacao/compensacao-de-irrf-relativo-a-juros-sobre-capital-proprio-e-de-irrf-incidente-sobre-pagamento-efetuado-a-cooperativas,A pessoa jurídica optante pelo lucro real no trimestre ou ano-calendário em que lhe foram pagos ou creditados juros sobre o capital próprio com retenção de imposto sobre a renda poderá durante o trimestre ou ano-calendário da retenção utilizar referido crédito de Imposto sobre a Renda Retido na Fonte (IRRF) na compensação do IRRF incidente sobre o pagamento ou crédito de juros a título de remuneração de capital próprio a seu titular sócios ou acionistas.O crédito de IRRF que não for utilizado durante o período de apuração em que houve a retenção na compensação de débitos de IRRF incidente sobre o pagamento ou crédito de juros sobre o capital próprio será deduzido do IRPJ devido pela pessoa jurídica ao final do período ou se for o caso comporá o saldo negativo do IRPJ do trimestre ou ano-calendário em que a retenção foi efetuada.O crédito do IRRF incidente sobre pagamento efetuado a cooperativa de trabalho associação de profissionais ou assemelhada poderá ser por ela utilizado durante o ano-calendário da retenção na compensação pela cooperativa de trabalho associação de profissionais ou assemelhada do IRRF incidente sobre os pagamentos de rendimentos aos cooperados ou associados pessoas físicas.No entanto se o crédito do IRRF incidente sobre pagamento efetuado a cooperativa de trabalho associação de profissionais ou assemelhada que ao longo do ano-calendário da retenção não tiver sido utilizado na compensação do IRRF incidente sobre os pagamentos efetuados aos cooperados ou associados pessoas físicas poderá ser objeto de restituição depois do encerramento do referido ano-calendário bem como ser utilizado na compensação de débitos relativos aos tributos administrados pela RFB.A compensação do IRRF Relativo a Juros sobre Capital Próprio e do IRRF Incidente sobre Pagamento Efetuado a Cooperativas será efetuada por meio da Declaração de Compensação gerada a partir do Programa PER/DCOMP ou na impossibilidade de sua utilização mediante a apresentação do formulário Declaração de Compensação ao qual deverão ser anexados documentos comprobatórios do direito creditório.,assuntos orientacao tributaria restituicao ressarcimento reembolso e compensacao compensacao compensacao de irrf relativo a juros sobre capital proprio e de irrf incidente sobre pagamento efetuado a cooperativas,efetuado compensação crédito anocalendário juros relativo cooperativas retenção utilizado pagamento capital incidente irrf,A pessoa jurídica optante pelo lucro real no trimestre ou ano-calendário em que lhe foram pagos ou creditados juros sobre o capital próprio com retenção de imposto sobre a renda poderá durante o trimestre ou ano-calendário da retenção utilizar referido crédito de Imposto sobre a Renda Retido na Fonte (IRRF) na compensação do IRRF incidente sobre o pagamento ou crédito de juros a título de remuneração de capital próprio a seu titular sócios ou acionistas. O crédito de IRRF que não for utilizado durante o período de apuração em que houve a retenção na compensação de débitos de IRRF incidente sobre o pagamento ou crédito de juros sobre o capital próprio será deduzido do IRPJ devido pela pessoa jurídica ao final do período ou se for o caso comporá o saldo negativo do IRPJ do trimestre ou ano-calendário em que a retenção foi efetuada.
455,Receita Federal,Declaração De Compensação,Compensação de Tributos e Contribuições Federais,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/restituicao-ressarcimento-reembolso-e-compensacao/compensacao/informacoes-gerais,66 da Lei nº 8.383/1991.O sujeito passivo poderá utilizar na compensação de débitos próprios relativos aos tributos e contribuições administrados pela RFB créditos que já tenham sido objeto de pedido de restituição ou de ressarcimento desde que referido pedido se encontre pendente de decisão administrativa à data do encaminhamento da Declaração de Compensação.A compensação declarada à RFB de tributo ou contribuição lançados de ofício importa renúncia às instâncias administrativas ou desistência de eventual recurso interposto.1º da Lei nº 10.684/2003 e do Parcelamento Excepcional (Paex) de que trata o art.Na impossibilidade de sua utilização poderá ser apresentado o formulário Declaração de Compensação ao qual deverão ser anexados documentos comprobatórios do direito creditório.,assuntos orientacao tributaria restituicao ressarcimento reembolso e compensacao compensacao informacoes gerais,rfb federais compensação crédito tributos apuração lei utilização declaração nº débito contribuições,O sujeito passivo que apurar crédito relativo a tributo ou contribuição administrado pela Secretaria da Receita Federal do Brasil (RFB) passível de restituição ou de ressarcimento inclusive crédito decorrente de decisão judicial transitada em julgado poderá utilizá-lo na compensação de débitos próprios vencidos ou vincendos observando-se o disposto na Lei 9. 430/96 e na IN RFB 1. 717/2017 ressalvada a compensação de débitos previdenciários efetivada em Guia de Recolhimento do FGTS e Informações à Previdência Social (GFIP) que segue o disposto no art. 66 da Lei nº 8. 383/1991. O sujeito passivo poderá utilizar na compensação de débitos próprios relativos aos tributos e contribuições administrados pela RFB créditos que já tenham sido objeto de pedido de restituição ou de ressarcimento desde que referido pedido se encontre pendente de decisão administrativa à data do encaminhamento da Declaração de Compensação.
456,Receita Federal,Declaração De Compensação,Emisión de formulario CPF para residentes en el exterior,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/cadastros/cpf/espanhol, ,assuntos orientacao tributaria cadastros cpf espanhol,formulario residentes cpf emisión en el exterior, 
457,Receita Federal,Declaração De Compensação,Issuance of Individual Taxpayer Registry (CPF) form for nonresidents,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/cadastros/cpf/ingles, ,assuntos orientacao tributaria cadastros cpf ingles,form nonresidents registry of cpf individual issuance taxpayer, 
458,Receita Federal,Declaração De Final De Espólio,Cancelamento de CPF,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/cadastros/cpf/atos-cadastrais/cancelamento-de-cpf/cancelamento-de-cpf,"Quando solicitar o cancelamento de CPFQuando constatada a multiplicidade de inscrições pela própria pessoa físicaouNos casos de óbito da pessoa física inscrita.No caso de óbito a situação cadastral do CPF será ""Titular Falecido""Quem pode solicitarDe pessoa falecida sem bens a inventariar parente da pessoa falecida (pais filhos irmãos).Observação Enquanto tramita o inventário o inventariante cônjuge meeiro convivente ou do sucessor a qualquer título deverá se dirigir a uma Unidade de atendimento da Receita Federal para informar a data de falecimento sem implicar cancelamento do CPF.Onde solicitarDe pessoa falecida sem bens a inventariar em uma unidade de atendimento da Receita Federal.De pessoa falecida com bens a inventariar na internet por meio da entrega da Declaração de Final de Espólio .",assuntos orientacao tributaria cadastros cpf atos cadastrais cancelamento de cpf cancelamento de cpf,unidade óbito inventariar cpf receita pessoa falecida bens cancelamento sucessor solicitarde,• De pessoa falecida com bens a inventariar (espólio) inventariante cônjuge meeiro convivente ou do o sucessor a qualquer título. Observação Enquanto tramita o inventário o inventariante cônjuge meeiro convivente ou do sucessor a qualquer título deverá se dirigir a uma Unidade de atendimento da Receita Federal para informar a data de falecimento sem implicar cancelamento do CPF. Vide documentação abaixo. Onde solicitar • De pessoa falecida sem bens a inventariar em uma unidade de atendimento da Receita Federal. O cancelamento é gratuito. • De pessoa falecida sem bens a inventariar certidão de óbito CPF e documento de identidade que conste filiação data de nascimento e naturalidade. Documento de identidade do parente que comprove o parentesco.
459,Receita Federal,Declaração De Informações Econômico-Fiscais Da Pessoa Jurídica (Dipj),Restituição de Pagamento Indevido ou a Maior,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/restituicao-ressarcimento-reembolso-e-compensacao/restituicao/pagamento-indevido-ou-a-maior/orientacoes-gerais,A RFB também promoverá a restituição dos valores recolhidos para outras entidades ou fundos exceto nos casos de arrecadação direta realizada mediante convênio.O contribuinte que embora desobrigado da entrega da DIRPF desejar obter a restituição do imposto sobre a renda retido na fonte no ano-calendário relativo a rendimento sujeito ao ajuste anual deverá pleitear a restituição mediante a apresentação da DIRPF.Na impossibilidade de utilização do Programa PER/DCOMP o requerimento será formalizado por meio do Pedido de Restituição ou de Ressarcimento aos quais deverão ser anexados documentos comprobatórios do direito creditório.Tratando-se de pedido de restituição formulado por representante do sujeito passivo por meio do Programa PER/DCOMP os documentos deverão ser apresentados à RFB depois de recebida a intimação da autoridade competente para decidir sobre o pedido.Ocorrendo óbito da pessoa física inclusive da pessoa física equiparada a empresa a restituição será efetuadaI - havendo outros bens e direitos sujeitos a inventário ou arrolamento a) mediante alvará judicial expedido pela autoridade judicial oub) mediante escritura pública expedida no processo extrajudicial de inventário.,assuntos orientacao tributaria restituicao ressarcimento reembolso e compensacao restituicao pagamento indevido ou a maior orientacoes gerais,restituição judicial sujeitos física inventário passivo sujeito pagamento rfb renda indevido pessoa,Poderão ser restituídas pela Secretaria da Receita Federal do Brasil (RFB) as quantias recolhidas a título de tributo sob sua administração bem como outras receitas da União arrecadadas mediante Documento de Arrecadação de Receitas Federais (Darf) ou Guia da Previdência Social (GPS) nas seguintes hipóteses I - cobrança ou pagamento espontâneo indevido ou em valor maior que o devido II - erro na identificação do sujeito passivo na determinação da alíquota aplicável no cálculo do montante do débito ou na elaboração ou conferência de qualquer documento relativo ao pagamento ou Também poderão ser restituídas pela RFB nas hipóteses mencionadas nos itens I a III as quantias recolhidas a título de multa e de juros moratórios previstos nas leis instituidoras de obrigações tributárias principais ou acessórias relativas aos tributos administrados pela RFB.
